Date,Open,High,Low,Price
"Mar 08, 2024","2,167.30","2,194.90","2,166.30","2,178.60"
"Mar 07, 2024","2,147.00","2,163.00","2,147.00","2,158.00"
"Mar 06, 2024","2,125.50","2,150.30","2,125.50","2,150.30"
"Mar 05, 2024","2,114.90","2,133.50","2,111.40","2,133.50"
"Mar 04, 2024","2,083.60","2,119.80","2,080.70","2,117.70"
"Mar 01, 2024","2,043.10","2,086.90","2,041.80","2,086.90"
"Feb 29, 2024","2,034.30","2,049.80","2,034.30","2,045.70"
"Feb 28, 2024","2,029.50","2,037.00","2,024.80","2,033.00"
"Feb 27, 2024","2,035.90","2,035.90","2,034.00","2,034.00"
"Feb 26, 2024","2,034.10","2,035.40","2,024.80","2,028.50"
"Feb 23, 2024","2,026.00","2,038.60","2,014.90","2,038.60"
"Feb 22, 2024","2,033.20","2,033.20","2,019.70","2,019.70"
"Feb 21, 2024","2,028.20","2,028.20","2,022.30","2,022.30"
"Feb 20, 2024","2,015.60","2,029.00","2,015.60","2,027.50"
"Feb 19, 2024","2,015.60","2,015.60","2,015.60","2,015.60"
"Feb 16, 2024","2,005.00","2,011.50","1,996.50","2,011.50"
"Feb 15, 2024","1,993.60","2,007.20","1,993.60","2,002.10"
"Feb 14, 2024","1,990.30","1,993.50","1,984.80","1,990.30"
"Feb 13, 2024","2,025.10","2,025.80","1,990.00","1,992.90"
"Feb 12, 2024","2,025.50","2,025.50","2,011.60","2,018.20"
"Feb 09, 2024","2,032.00","2,032.00","2,020.00","2,023.30"
"Feb 08, 2024","2,028.00","2,036.70","2,020.30","2,032.20"
"Feb 07, 2024","2,032.80","2,039.50","2,032.70","2,035.20"
"Feb 06, 2024","2,025.90","2,037.30","2,025.90","2,034.50"
"Feb 05, 2024","2,038.90","2,040.80","2,013.80","2,025.70"
"Feb 02, 2024","2,054.80","2,055.90","2,027.70","2,036.10"
"Feb 01, 2024","2,040.20","2,064.50","2,029.00","2,053.00"
"Jan 31, 2024","2,035.40","2,055.00","2,030.00","2,048.40"
"Jan 30, 2024","2,032.50","2,048.50","2,028.10","2,031.50"
"Jan 29, 2024","2,025.20","2,025.20","2,025.20","2,025.20"
"Jan 26, 2024","2,021.70","2,022.40","2,016.80","2,016.80"
"Jan 25, 2024","2,012.10","2,022.40","2,012.10","2,016.90"
"Jan 24, 2024","2,023.20","2,033.20","2,013.90","2,013.90"
"Jan 23, 2024","2,030.30","2,030.30","2,022.50","2,023.70"
"Jan 22, 2024","2,021.30","2,021.30","2,019.80","2,019.80"
"Jan 19, 2024","2,023.20","2,036.00","2,019.50","2,026.50"
"Jan 18, 2024","2,012.80","2,018.60","2,009.50","2,018.60"
"Jan 17, 2024","2,026.50","2,026.50","2,002.60","2,002.60"
"Jan 16, 2024","2,051.70","2,054.80","2,026.00","2,026.00"
"Jan 12, 2024","2,031.10","2,057.00","2,031.10","2,046.70"
"Jan 11, 2024","2,025.10","2,025.10","2,014.30","2,014.30"
"Jan 10, 2024","2,029.00","2,035.60","2,021.70","2,021.70"
"Jan 09, 2024","2,035.80","2,035.80","2,026.40","2,026.40"
"Jan 08, 2024","2,019.10","2,033.70","2,019.10","2,026.60"
"Jan 05, 2024","2,044.50","2,048.10","2,042.40","2,042.40"
"Jan 04, 2024","2,041.60","2,044.50","2,038.00","2,042.30"
"Jan 03, 2024","2,034.20","2,044.00","2,034.20","2,034.20"
"Jan 02, 2024","2,063.50","2,073.70","2,057.10","2,064.40"
"Dec 29, 2023","2,068.00","2,068.90","2,062.10","2,062.40"
"Dec 28, 2023","2,081.60","2,087.30","2,066.50","2,073.90"
"Dec 27, 2023","2,067.30","2,081.90","2,064.80","2,081.90"
"Dec 26, 2023","2,060.00","2,060.80","2,054.20","2,058.20"
"Dec 22, 2023","2,055.70","2,068.70","2,052.20","2,057.10"
"Dec 21, 2023","2,035.80","2,044.50","2,033.00","2,039.10"
"Dec 20, 2023","2,037.10","2,037.10","2,030.30","2,034.50"
"Dec 19, 2023","2,025.20","2,042.70","2,025.20","2,038.40"
"Dec 18, 2023","2,024.30","2,032.80","2,024.00","2,026.30"
"Dec 15, 2023","2,032.60","2,043.40","2,018.30","2,021.10"
"Dec 14, 2023","2,024.70","2,040.10","2,024.30","2,030.20"
"Dec 13, 2023","1,978.50","2,024.80","1,975.00","1,982.30"
"Dec 12, 2023","1,984.20","1,994.20","1,977.80","1,977.80"
"Dec 11, 2023","2,004.10","2,004.20","1,977.20","1,978.00"
"Dec 08, 2023","2,031.70","2,033.10","1,995.00","1,998.30"
"Dec 07, 2023","2,029.20","2,034.90","2,024.00","2,029.90"
"Dec 06, 2023","2,019.90","2,035.80","2,019.00","2,030.50"
"Dec 05, 2023","2,035.10","2,037.00","2,010.20","2,018.50"
"Dec 04, 2023","2,075.30","2,130.20","2,021.00","2,024.10"
"Dec 01, 2023","2,038.30","2,073.20","2,036.00","2,071.00"
"Nov 30, 2023","2,046.10","2,047.10","2,033.10","2,038.10"
"Nov 29, 2023","2,041.70","2,052.10","2,036.00","2,047.10"
"Nov 28, 2023","2,040.60","2,042.70","2,039.70","2,039.70"
"Nov 27, 2023","2,011.70","2,011.80","2,011.70","2,011.80"
"Nov 24, 2023","1,991.90","2,002.20","1,991.50","2,002.20"
"Nov 23, 2023","1,991.90","1,991.90","1,991.50","1,991.50"
"Nov 22, 2023","1,999.10","1,999.40","1,991.00","1,991.40"
"Nov 21, 2023","1,990.70","2,005.50","1,988.50","1,999.30"
"Nov 20, 2023","1,978.70","1,979.40","1,969.70","1,977.70"
"Nov 17, 2023","1,982.50","1,984.00","1,979.80","1,981.60"
"Nov 16, 2023","1,965.30","1,983.90","1,964.60","1,983.90"
"Nov 15, 2023","1,962.80","1,962.80","1,960.00","1,960.10"
"Nov 14, 2023","1,965.80","1,965.80","1,961.80","1,961.80"
"Nov 13, 2023","1,939.90","1,947.20","1,934.00","1,945.50"
"Nov 10, 2023","1,959.60","1,959.60","1,932.60","1,932.60"
"Nov 09, 2023","1,951.70","1,964.20","1,945.30","1,964.20"
"Nov 08, 2023","1,967.80","1,967.80","1,947.70","1,951.50"
"Nov 07, 2023","1,966.50","1,966.80","1,960.70","1,966.80"
"Nov 06, 2023","1,981.60","1,981.60","1,977.40","1,981.60"
"Nov 03, 2023","1,989.00","1,991.50","1,989.00","1,991.50"
"Nov 02, 2023","1,989.10","1,990.30","1,979.50","1,985.60"
"Nov 01, 2023","1,990.50","1,990.50","1,977.80","1,978.80"
"Oct 31, 2023","1,996.50","2,001.00","1,983.70","1,985.20"
"Oct 30, 2023","2,004.10","2,004.10","1,992.50","1,996.20"
